episode,episode_length,episode_reward,fps,frame,frames,step,total_time
1.0,[232.],[-1034.5874],772.0,3712,59392.0,3712.0,[4.796875]
2.0,[219.],[-993.06836],828.0,7216,115456.0,7216.0,[3.894531]
3.0,[152.],[-89.34116],862.0,9648,154368.0,9648.0,[2.480469]
4.0,[166.],[-568.64844],864.0,12304,196864.0,12304.0,[3.042969]
5.0,[181.],[-137.36923],890.0,15200,243200.0,15200.0,[2.832031]
6.0,[234.],[8.495796],896.0,18944,303104.0,18944.0,[4.054688]
7.0,[212.],[-388.40927],913.0,22336,357376.0,22336.0,[3.316406]
8.0,[350.],[-613.48926],916.0,27936,446976.0,27936.0,[6.015625]
9.0,[177.],[-62.372276],914.0,30768,492288.0,30768.0,[3.179688]
10.0,[188.],[-542.9767],923.0,33776,540416.0,33776.0,[2.898438]
11.0,[195.],[-35.21422],921.0,36896,590336.0,36896.0,[3.480469]
12.0,[657.],[242.84662],932.0,47408,758528.0,47408.0,[10.78125]
13.0,[552.],[226.07156],937.0,56240,899840.0,56240.0,[9.128906]
14.0,[176.],[-351.41602],939.0,59056,944896.0,59056.0,[2.90625]
